Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Egan-Jones Ratings Company,"AMAZON.COM, INC",A+,27-04-2015,1018724,1,5961,Shops,AMZN,1.1153,0.4349,0.7695,29.4826,0.2,0.2,5.5333,-0.1247,-0.2708,1.6327,-2.2437,-3.2471,-0.4422,-1.268,3.0353,-0.1491
Egan-Jones Ratings Company,"AMAZON.COM, INC",A+,28-07-2015,1018724,1,5961,Shops,AMZN,1.1153,0.4349,0.7695,29.4826,0.2,0.2,5.5333,-0.1247,-0.2708,1.6327,-2.2437,-3.2471,-0.4422,-1.268,3.0353,-0.1491
Egan-Jones Ratings Company,"AMAZON.COM, INC",A+,28-10-2015,1018724,1,5961,Shops,AMZN,1.1153,0.4349,0.7695,29.4826,0.2,0.2,5.5333,-0.1247,-0.2708,1.6327,-2.2437,-3.2471,-0.4422,-1.268,3.0353,-0.1491
Moody's Investors Service,AMC Networks Inc.,BB-,18-12-2015,1514991,0,4833,Telcm,AMCX,1.8164,1.1508,-7.9655,54.7915,25.1123,25.1123,58.1569,18.2488,11.9871,0.5508,-76.12,-10.1581,6.7819,11.4756,5.838,5.6269
Egan-Jones Ratings Company,AMEREN CORPORATION,B-,25-03-2015,1002910,0,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,A-,27-03-2015,1002910,1,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,A-,03-06-2015,1002910,1,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,B-,04-06-2015,1002910,0,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,A,02-09-2015,1002910,1,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,B-,03-09-2015,1002910,0,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,B-,25-11-2015,1002910,0,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMEREN CORPORATION,A,30-11-2015,1002910,1,4931,Utils,AEE,0.8013,0.4515,0.9581,67.8143,20.2809,20.2809,33.3162,14.2001,4.9503,0.2774,7.7475,8.255,2.4617,4.2494,-0.0304,-1.1056
Egan-Jones Ratings Company,AMERICA MOVIL SAB DE CV,A-,17-03-2015,1129137,1,4812,Telcm,AMX,0.7611,0.6994,2.573,54.4843,18.4575,18.4575,32.0135,10.282,5.4394,0.6636,20.2409,-295.2425,3.7153,6.0844,1.3086,1.0362
Egan-Jones Ratings Company,AMERICA MOVIL SAB DE CV,BBB+,11-05-2015,1129137,1,4812,Telcm,AMX,0.7611,0.6994,2.573,54.4843,18.4575,18.4575,32.0135,10.282,5.4394,0.6636,20.2409,-295.2425,3.7153,6.0844,1.3086,1.0362
Egan-Jones Ratings Company,AMERICA MOVIL SAB DE CV,BBB,24-07-2015,1129137,1,4812,Telcm,AMX,0.7611,0.6994,2.573,54.4843,18.4575,18.4575,32.0135,10.282,5.4394,0.6636,20.2409,-295.2425,3.7153,6.0844,1.3086,1.0362
Egan-Jones Ratings Company,AMERICA MOVIL SAB DE CV,BBB,26-10-2015,1129137,1,4812,Telcm,AMX,0.7611,0.6994,2.573,54.4843,18.4575,18.4575,32.0135,10.282,5.4394,0.6636,20.2409,-295.2425,3.7153,6.0844,1.3086,1.0362
Egan-Jones Ratings Company,AMERICAN AXLE & MANUFACTURING,BBB-,16-03-2015,1062231,1,3714,Durbl,AXL,1.6582,0.9299,13.3827,14.145,7.2403,7.2403,12.6488,4.7808,3.7906,1.1406,126.1023,-343.7492,4.413,8.8381,1.2335,1.5371
Egan-Jones Ratings Company,AMERICAN AXLE & MANUFACTURING,BBB-,21-05-2015,1062231,1,3714,Durbl,AXL,1.6582,0.9299,13.3827,14.145,7.2403,7.2403,12.6488,4.7808,3.7906,1.1406,126.1023,-343.7492,4.413,8.8381,1.2335,1.5371
Egan-Jones Ratings Company,AMERICAN AXLE & MANUFACTURING,BBB-,29-05-2015,1062231,1,3714,Durbl,AXL,1.6582,0.9299,13.3827,14.145,7.2403,7.2403,12.6488,4.7808,3.7906,1.1406,126.1023,-343.7492,4.413,8.8381,1.2335,1.5371
Egan-Jones Ratings Company,AMERICAN AXLE & MANUFACTURING,BBB-,01-09-2015,1062231,1,3714,Durbl,AXL,1.6582,0.9299,13.3827,14.145,7.2403,7.2403,12.6488,4.7808,3.7906,1.1406,126.1023,-343.7492,4.413,8.8381,1.2335,1.5371
Egan-Jones Ratings Company,AMERICAN AXLE & MANUFACTURING,BBB-,03-09-2015,1062231,1,3714,Durbl,AXL,1.6582,0.9299,13.3827,14.145,7.2403,7.2403,12.6488,4.7808,3.7906,1.1406,126.1023,-343.7492,4.413,8.8381,1.2335,1.5371
Egan-Jones Ratings Company,AMERICAN AXLE & MANUFACTURING,BBB-,30-11-2015,1062231,1,3714,Durbl,AXL,1.6582,0.9299,13.3827,14.145,7.2403,7.2403,12.6488,4.7808,3.7906,1.1406,126.1023,-343.7492,4.413,8.8381,1.2335,1.5371
Egan-Jones Ratings Company,AMERICAN ELECTRIC POWER,BBB,09-02-2015,4904,1,4911,Utils,AEP,0.5621,0.4876,1.1803,61.1829,19.0944,19.0944,31.5607,14.671,9.9752,0.2751,9.4535,9.4831,2.6711,4.8437,1.0034,-0.0857
Egan-Jones Ratings Company,AMERICAN ELECTRIC POWER,BBB,28-04-2015,4904,1,4911,Utils,AEP,0.5621,0.4876,1.1803,61.1829,19.0944,19.0944,31.5607,14.671,9.9752,0.2751,9.4535,9.4831,2.6711,4.8437,1.0034,-0.0857
Egan-Jones Ratings Company,AMERICAN ELECTRIC POWER,BBB+,28-07-2015,4904,1,4911,Utils,AEP,0.5621,0.4876,1.1803,61.1829,19.0944,19.0944,31.5607,14.671,9.9752,0.2751,9.4535,9.4831,2.6711,4.8437,1.0034,-0.0857
Egan-Jones Ratings Company,AMERICAN ELECTRIC POWER,BBB+,02-11-2015,4904,1,4911,Utils,AEP,0.5621,0.4876,1.1803,61.1829,19.0944,19.0944,31.5607,14.671,9.9752,0.2751,9.4535,9.4831,2.6711,4.8437,1.0034,-0.0857
Egan-Jones Ratings Company,"AMERICAN WATER WORKS COMPANY,",BBB+,12-01-2015,1410636,1,4941,Utils,AWK,0.4633,0.5254,1.2112,100,33.3112,33.3112,47.3929,23.5802,14.0485,0.1877,8.7487,11.5997,2.6811,4.1518,1.0888,1.3248
Egan-Jones Ratings Company,"AMERICAN WATER WORKS COMPANY,",BBB+,21-05-2015,1410636,1,4941,Utils,AWK,0.4633,0.5254,1.2112,100,33.3112,33.3112,47.3929,23.5802,14.0485,0.1877,8.7487,11.5997,2.6811,4.1518,1.0888,1.3248
Egan-Jones Ratings Company,"AMERICAN WATER WORKS COMPANY,",BBB+,22-09-2015,1410636,1,4941,Utils,AWK,0.4633,0.5254,1.2112,100,33.3112,33.3112,47.3929,23.5802,14.0485,0.1877,8.7487,11.5997,2.6811,4.1518,1.0888,1.3248
Egan-Jones Ratings Company,AMERISOURCEBERGEN CORPORATION,AA-,05-02-2015,1140859,1,5122,Shops,ABC,0.9739,0.5049,1.0198,2.4943,0.6541,0.6541,0.8185,0.5602,0.2293,5.553,14.3991,-18.479,1.3086,7.129,2.873,2.6098
Egan-Jones Ratings Company,AMERISOURCEBERGEN CORPORATION,AA-,27-05-2015,1140859,1,5122,Shops,ABC,0.9739,0.5049,1.0198,2.4943,0.6541,0.6541,0.8185,0.5602,0.2293,5.553,14.3991,-18.479,1.3086,7.129,2.873,2.6098
Egan-Jones Ratings Company,AMERISOURCEBERGEN CORPORATION,AA-,04-08-2015,1140859,1,5122,Shops,ABC,0.9739,0.5049,1.0198,2.4943,0.6541,0.6541,0.8185,0.5602,0.2293,5.553,14.3991,-18.479,1.3086,7.129,2.873,2.6098
Egan-Jones Ratings Company,AMERISOURCEBERGEN CORPORATION,AA-,22-09-2015,1140859,1,5122,Shops,ABC,0.9739,0.5049,1.0198,2.4943,0.6541,0.6541,0.8185,0.5602,0.2293,5.553,14.3991,-18.479,1.3086,7.129,2.873,2.6098
Egan-Jones Ratings Company,AMERISOURCEBERGEN CORPORATION,A+,05-11-2015,1140859,1,5122,Shops,ABC,0.9424,0.8585,6.0664,2.5958,0.3105,0.3105,0.4988,0.1978,-0.1016,4.8622,-22.4154,2.5025,-0.4941,-3.1721,11.7878,11.8478
Egan-Jones Ratings Company,AMGEN INC.,BBB+,14-01-2015,318154,1,2836,Hlth,AMGN,4.9533,0.5396,1.1915,77.9594,30.8578,30.8578,41.285,27.8373,25.709,0.2907,20.0093,-302.8773,7.4744,9.2119,3.4025,3.3536
Egan-Jones Ratings Company,AMGEN INC.,BBB+,23-04-2015,318154,1,2836,Hlth,AMGN,4.9533,0.5396,1.1915,77.9594,30.8578,30.8578,41.285,27.8373,25.709,0.2907,20.0093,-302.8773,7.4744,9.2119,3.4025,3.3536
Egan-Jones Ratings Company,AMGEN INC.,BBB+,05-05-2015,318154,1,2836,Hlth,AMGN,4.9533,0.5396,1.1915,77.9594,30.8578,30.8578,41.285,27.8373,25.709,0.2907,20.0093,-302.8773,7.4744,9.2119,3.4025,3.3536
Egan-Jones Ratings Company,AMGEN INC.,BBB+,07-08-2015,318154,1,2836,Hlth,AMGN,4.9533,0.5396,1.1915,77.9594,30.8578,30.8578,41.285,27.8373,25.709,0.2907,20.0093,-302.8773,7.4744,9.2119,3.4025,3.3536
Egan-Jones Ratings Company,AMGEN INC.,BBB+,09-11-2015,318154,1,2836,Hlth,AMGN,4.9533,0.5396,1.1915,77.9594,30.8578,30.8578,41.285,27.8373,25.709,0.2907,20.0093,-302.8773,7.4744,9.2119,3.4025,3.3536
Egan-Jones Ratings Company,"AMKOR TECHNOLOGY, INC",BB+,13-02-2015,1047127,0,3674,BusEq,AMKR,1.7837,0.6225,1.7128,18.4178,7.8509,7.8509,21.828,4.1938,3.6969,0.8626,11.5714,11.5714,3.2579,4.3679,0.7681,0.6618
Egan-Jones Ratings Company,"AMKOR TECHNOLOGY, INC",BB,04-05-2015,1047127,0,3674,BusEq,AMKR,1.7837,0.6225,1.7128,18.4178,7.8509,7.8509,21.828,4.1938,3.6969,0.8626,11.5714,11.5714,3.2579,4.3679,0.7681,0.6618
Egan-Jones Ratings Company,"AMKOR TECHNOLOGY, INC",BB-,10-08-2015,1047127,0,3674,BusEq,AMKR,1.7837,0.6225,1.7128,18.4178,7.8509,7.8509,21.828,4.1938,3.6969,0.8626,11.5714,11.5714,3.2579,4.3679,0.7681,0.6618
Egan-Jones Ratings Company,"AMKOR TECHNOLOGY, INC",BB,29-10-2015,1047127,0,3674,BusEq,AMKR,1.7837,0.6225,1.7128,18.4178,7.8509,7.8509,21.828,4.1938,3.6969,0.8626,11.5714,11.5714,3.2579,4.3679,0.7681,0.6618
Egan-Jones Ratings Company,"ANALOG DEVICES, INC",A,25-02-2015,6281,1,3674,BusEq,ADI,5.376,0.155,0.1834,63.886,26.2668,26.2668,31.2225,25.4591,21.9675,0.4176,13.2269,25.749,9.1742,11.1766,-0.1645,-0.3321
Egan-Jones Ratings Company,"ANALOG DEVICES, INC",A,16-03-2015,6281,1,3674,BusEq,ADI,5.376,0.155,0.1834,63.886,26.2668,26.2668,31.2225,25.4591,21.9675,0.4176,13.2269,25.749,9.1742,11.1766,-0.1645,-0.3321
Egan-Jones Ratings Company,"ANALOG DEVICES, INC",A,05-06-2015,6281,1,3674,BusEq,ADI,5.376,0.155,0.1834,63.886,26.2668,26.2668,31.2225,25.4591,21.9675,0.4176,13.2269,25.749,9.1742,11.1766,-0.1645,-0.3321
Egan-Jones Ratings Company,"ANALOG DEVICES, INC",A+,16-06-2015,6281,1,3674,BusEq,ADI,5.376,0.155,0.1834,63.886,26.2668,26.2668,31.2225,25.4591,21.9675,0.4176,13.2269,25.749,9.1742,11.1766,-0.1645,-0.3321
Egan-Jones Ratings Company,"ANALOG DEVICES, INC",A+,25-09-2015,6281,1,3674,BusEq,ADI,5.376,0.155,0.1834,63.886,26.2668,26.2668,31.2225,25.4591,21.9675,0.4176,13.2269,25.749,9.1742,11.1766,-0.1645,-0.3321
Egan-Jones Ratings Company,"ANALOG DEVICES, INC",A+,14-10-2015,6281,1,3674,BusEq,ADI,5.376,0.155,0.1834,63.886,26.2668,26.2668,31.2225,25.4591,21.9675,0.4176,13.2269,25.749,9.1742,11.1766,-0.1645,-0.3321
Egan-Jones Ratings Company,ANDERSONS INC.,BBB+,18-03-2015,821026,1,5150,Shops,ANDE,1.2312,0.3412,0.5897,6.5166,1.5486,1.5486,2.5354,2.6677,1.5984,2.4651,13.2108,14.3725,4.2094,8.7031,0.2478,1.9249
Egan-Jones Ratings Company,ANHEUSER-BUSCH INBEV SA/NV,A+,12-01-2015,1668717,1,2082,NoDur,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,20.8305,-24.3452,7.9284,11.546,0.0925,-0.1941
Egan-Jones Ratings Company,ANHEUSER-BUSCH INBEV SA/NV,A+,20-05-2015,1668717,1,2082,NoDur,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,20.8305,-24.3452,7.9284,11.546,0.0925,-0.1941
Egan-Jones Ratings Company,ANHEUSER-BUSCH INBEV SA/NV,A+,07-10-2015,1668717,1,2082,NoDur,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,20.8305,-24.3452,7.9284,11.546,0.0925,-0.1941
Egan-Jones Ratings Company,ANHEUSER-BUSCH INBEV SA/NV,A+,12-10-2015,1668717,1,2082,NoDur,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,20.8305,-24.3452,7.9284,11.546,0.0925,-0.1941
Egan-Jones Ratings Company,ANHEUSER-BUSCH INBEV SA/NV,A,13-10-2015,1668717,1,2082,NoDur,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,20.8305,-24.3452,7.9284,11.546,0.0925,-0.1941
Egan-Jones Ratings Company,ANHEUSER-BUSCH INBEV SA/NV,A-,11-11-2015,1668717,1,2082,NoDur,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,20.8305,-24.3452,7.9284,11.546,0.0925,-0.1941
Egan-Jones Ratings Company,APACHE CORPORATION,BBB,20-02-2015,6769,1,1311,Enrgy,APA,1.7508,0.2855,0.3997,97.6203,-59.5363,-59.5363,-20.0837,-59.5363,-72.8731,0.205,-22.4331,-22.4331,-11.2811,-16.0276,-3.5027,-8.0502
Egan-Jones Ratings Company,APACHE CORPORATION,BBB,26-05-2015,6769,1,1311,Enrgy,APA,1.7508,0.2855,0.3997,97.6203,-59.5363,-59.5363,-20.0837,-59.5363,-72.8731,0.205,-22.4331,-22.4331,-11.2811,-16.0276,-3.5027,-8.0502
Egan-Jones Ratings Company,ARCHER-DANIELS-MIDLAND COMPANY,A,11-02-2015,7084,1,2070,NoDur,ADM,1.6682,0.2197,0.2883,5.8718,3.4913,3.4913,4.5923,3.8546,2.7684,1.8456,11.4773,13.8749,5.1208,8.9554,-0.3473,-0.333
Egan-Jones Ratings Company,ARCHER-DANIELS-MIDLAND COMPANY,A,27-05-2015,7084,1,2070,NoDur,ADM,1.6682,0.2197,0.2883,5.8718,3.4913,3.4913,4.5923,3.8546,2.7684,1.8456,11.4773,13.8749,5.1208,8.9554,-0.3473,-0.333
Egan-Jones Ratings Company,ARCHER-DANIELS-MIDLAND COMPANY,A,21-09-2015,7084,1,2070,NoDur,ADM,1.6682,0.2197,0.2883,5.8718,3.4913,3.4913,4.5923,3.8546,2.7684,1.8456,11.4773,13.8749,5.1208,8.9554,-0.3473,-0.333
Egan-Jones Ratings Company,"ARROW ELECTRONICS, INC",BBB,12-02-2015,7536,1,5065,Shops,ARW,1.5472,0.3321,0.5005,13.158,3.3478,3.3478,4.2173,3.0012,2.1874,1.831,11.9837,28.4146,4.0079,8.0039,2.3905,2.2849
Egan-Jones Ratings Company,"ARROW ELECTRONICS, INC",BBB,01-06-2015,7536,1,5065,Shops,ARW,1.5472,0.3321,0.5005,13.158,3.3478,3.3478,4.2173,3.0012,2.1874,1.831,11.9837,28.4146,4.0079,8.0039,2.3905,2.2849
Egan-Jones Ratings Company,"ARROW ELECTRONICS, INC",BBB,24-08-2015,7536,1,5065,Shops,ARW,1.5472,0.3321,0.5005,13.158,3.3478,3.3478,4.2173,3.0012,2.1874,1.831,11.9837,28.4146,4.0079,8.0039,2.3905,2.2849
Egan-Jones Ratings Company,"ARROW ELECTRONICS, INC",BBB,02-11-2015,7536,1,5065,Shops,ARW,1.5472,0.3321,0.5005,13.158,3.3478,3.3478,4.2173,3.0012,2.1874,1.831,11.9837,28.4146,4.0079,8.0039,2.3905,2.2849
Egan-Jones Ratings Company,"ASBURY AUTOMOTIVE GROUP, INC",BBB-,06-03-2015,1144980,1,5500,Shops,ABG,1.3289,0.5255,2.3724,16.4202,4.2381,4.2381,4.883,3.0985,2.045,2.8248,20.6074,23.1828,5.3532,9.7785,2.2873,1.6507
Egan-Jones Ratings Company,"ASBURY AUTOMOTIVE GROUP, INC",BBB-,15-06-2015,1144980,1,5500,Shops,ABG,1.3289,0.5255,2.3724,16.4202,4.2381,4.2381,4.883,3.0985,2.045,2.8248,20.6074,23.1828,5.3532,9.7785,2.2873,1.6507
Egan-Jones Ratings Company,"ASBURY AUTOMOTIVE GROUP, INC",BBB-,22-07-2015,1144980,1,5500,Shops,ABG,1.3289,0.5255,2.3724,16.4202,4.2381,4.2381,4.883,3.0985,2.045,2.8248,20.6074,23.1828,5.3532,9.7785,2.2873,1.6507
Egan-Jones Ratings Company,ATMOS ENERGY CORPORATION,A-,11-02-2015,731802,1,4924,Utils,ATO,0.852,0.4431,0.8595,32.027,12.3732,12.3732,17.5137,9.6504,5.8513,0.5749,9.3906,12.3631,3.372,5.2293,0.8223,-0.0786
Egan-Jones Ratings Company,ATMOS ENERGY CORPORATION,A-,28-05-2015,731802,1,4924,Utils,ATO,0.852,0.4431,0.8595,32.027,12.3732,12.3732,17.5137,9.6504,5.8513,0.5749,9.3906,12.3631,3.372,5.2293,0.8223,-0.0786
Egan-Jones Ratings Company,ATMOS ENERGY CORPORATION,A-,24-09-2015,731802,1,4924,Utils,ATO,0.852,0.4431,0.8595,32.027,12.3732,12.3732,17.5137,9.6504,5.8513,0.5749,9.3906,12.3631,3.372,5.2293,0.8223,-0.0786
Egan-Jones Ratings Company,"AUTOZONE, INC",BBB+,12-01-2015,866787,1,5531,Shops,AZO,0.7885,1.6435,-2.6655,52.0817,19.3157,19.3157,22.0399,17.5479,11.2898,1.2639,-65.958,-53.7645,14.2687,42.4445,0.9039,-0.84
Egan-Jones Ratings Company,"AUTOZONE, INC",BBB+,01-04-2015,866787,1,5531,Shops,AZO,0.7885,1.6435,-2.6655,52.0817,19.3157,19.3157,22.0399,17.5479,11.2898,1.2639,-65.958,-53.7645,14.2687,42.4445,0.9039,-0.84
Egan-Jones Ratings Company,"AUTOZONE, INC",BBB+,02-07-2015,866787,1,5531,Shops,AZO,0.7885,1.6435,-2.6655,52.0817,19.3157,19.3157,22.0399,17.5479,11.2898,1.2639,-65.958,-53.7645,14.2687,42.4445,0.9039,-0.84
Egan-Jones Ratings Company,"AUTOZONE, INC",BBB+,06-10-2015,866787,1,5531,Shops,AZO,0.8424,1.582,-2.7183,52.2907,19.1714,19.1714,21.8821,17.6946,11.3891,1.2573,-68.1937,-55.427,14.3198,39.6869,9.2569,7.1956
Egan-Jones Ratings Company,AVERY DENNISON CORPORATION,BBB+,03-02-2015,8818,1,2670,Manuf,AVY,1.346,0.3891,0.6886,26.6726,6.9528,6.9528,10.285,5.9609,3.4723,1.3317,16.1976,37.4671,5.2423,9.8944,-1.7676,-1.7043
Egan-Jones Ratings Company,AVERY DENNISON CORPORATION,BBB,12-06-2015,8818,1,2670,Manuf,AVY,1.346,0.3891,0.6886,26.6726,6.9528,6.9528,10.285,5.9609,3.4723,1.3317,16.1976,37.4671,5.2423,9.8944,-1.7676,-1.7043
Egan-Jones Ratings Company,AVERY DENNISON CORPORATION,BBB,05-08-2015,8818,1,2670,Manuf,AVY,1.346,0.3891,0.6886,26.6726,6.9528,6.9528,10.285,5.9609,3.4723,1.3317,16.1976,37.4671,5.2423,9.8944,-1.7676,-1.7043
Egan-Jones Ratings Company,AVERY DENNISON CORPORATION,A-,18-08-2015,8818,1,2670,Manuf,AVY,1.346,0.3891,0.6886,26.6726,6.9528,6.9528,10.285,5.9609,3.4723,1.3317,16.1976,37.4671,5.2423,9.8944,-1.7676,-1.7043
Egan-Jones Ratings Company,AVERY DENNISON CORPORATION,BBB+,06-11-2015,8818,1,2670,Manuf,AVY,1.346,0.3891,0.6886,26.6726,6.9528,6.9528,10.285,5.9609,3.4723,1.3317,16.1976,37.4671,5.2423,9.8944,-1.7676,-1.7043
Egan-Jones Ratings Company,AVISTA CORPORATION,A+,30-03-2015,104918,1,4931,Utils,AVA,1.0262,0.5081,1.1091,100,17.153,17.153,27.8076,13.0457,13.0413,0.3132,8.0814,8.4101,2.5498,3.975,0.2758,-0.0358
Egan-Jones Ratings Company,AVISTA CORPORATION,A+,03-06-2015,104918,1,4931,Utils,AVA,1.0262,0.5081,1.1091,100,17.153,17.153,27.8076,13.0457,13.0413,0.3132,8.0814,8.4101,2.5498,3.975,0.2758,-0.0358
Egan-Jones Ratings Company,AVISTA CORPORATION,A+,01-09-2015,104918,1,4931,Utils,AVA,1.0262,0.5081,1.1091,100,17.153,17.153,27.8076,13.0457,13.0413,0.3132,8.0814,8.4101,2.5498,3.975,0.2758,-0.0358
Egan-Jones Ratings Company,"AVNET, INC",BBB-,25-03-2015,8858,1,5065,Shops,AVT,1.7985,0.1982,0.4241,11.7301,2.8725,2.8725,3.3714,2.5496,1.984,2.4443,11.1571,16.2507,4.8495,8.9456,-3.2783,-3.4623
Egan-Jones Ratings Company,"AVNET, INC",BBB-,01-05-2015,8858,1,5065,Shops,AVT,1.7985,0.1982,0.4241,11.7301,2.8725,2.8725,3.3714,2.5496,1.984,2.4443,11.1571,16.2507,4.8495,8.9456,-3.2783,-3.4623
Egan-Jones Ratings Company,"AVNET, INC",BBB-,26-08-2015,8858,1,5065,Shops,AVT,2.0094,0.26,0.4221,12.5182,3.6994,3.6994,4.165,3.237,3.2393,1.6348,10.3602,14.6793,4.4942,7.666,2.5125,2.4312
Egan-Jones Ratings Company,"AVNET, INC",BBB-,05-11-2015,8858,1,5065,Shops,AVT,2.0094,0.26,0.4221,12.5182,3.6994,3.6994,4.165,3.237,3.2393,1.6348,10.3602,14.6793,4.4942,7.666,2.5125,2.4312
Moody's Investors Service,Abbott Laboratories,A,04-03-2015,1800,1,3845,Hlth,ABT,2.0245,0.1182,0.2597,53.2329,10.8511,10.8511,19.5961,10.3831,13.1048,0.4576,7.868,20.3689,4.6283,6.9377,-3.7387,-3.3386
Moody's Investors Service,Abbott Laboratories,A,05-03-2015,1800,1,3845,Hlth,ABT,2.0245,0.1182,0.2597,53.2329,10.8511,10.8511,19.5961,10.3831,13.1048,0.4576,7.868,20.3689,4.6283,6.9377,-3.7387,-3.3386
Standard & Poor's Ratings Services,Acadia Healthcare Company Inc.,B-,28-01-2015,1520697,0,8060,Hlth,ACHC,1.6521,0.5444,1.2255,100,17.1972,17.1972,20.7673,12.5576,8.266,0.4552,9.4478,147.7236,3.7714,4.3044,0.7793,-0.1538
Standard & Poor's Ratings Services,Accenture plc,A+,11-09-2015,1467373,1,8742,Other,ACN,1.2602,0.0038,0.0041,29.8023,13.477,13.477,15.4394,13.4,9.2773,1.8082,49.2479,88.0586,17.9852,49.0591,1.1178,1.0012
Standard & Poor's Ratings Services,"Activision Blizzard, Inc.",BB+,20-03-2015,718877,0,7372,BusEq,ATVI,2.595,0.4135,0.7087,66.5939,29.9367,29.9367,36.8318,28.7803,21.5361,0.3271,15.2522,-106.7653,7.2081,8.946,0.0183,0.0121
Standard & Poor's Ratings Services,"Activision Blizzard, Inc.",BB+,05-10-2015,718877,0,7372,BusEq,ATVI,2.595,0.4135,0.7087,66.5939,29.9367,29.9367,36.8318,28.7803,21.5361,0.3271,15.2522,-106.7653,7.2081,8.946,0.0183,0.0121
Moody's Investors Service,"Activision Blizzard, Inc.",BBB-,02-11-2015,718877,1,7372,BusEq,ATVI,2.595,0.4135,0.7087,66.5939,29.9367,29.9367,36.8318,28.7803,21.5361,0.3271,15.2522,-106.7653,7.2081,8.946,0.0183,0.0121
Moody's Investors Service,"Advance Auto Parts, Inc.",BBB,05-08-2015,1158449,1,5531,Shops,AAP,1.2973,0.4496,0.8173,45.2425,8.6522,8.6522,11.5443,7.9379,5.0008,1.2363,24.6554,190.4006,6.202,13.5695,2.2303,1.5291
Moody's Investors Service,"Advanced Micro Devices, Inc.",CCC+,21-04-2015,2488,0,3674,BusEq,AMD,1.9,0.9158,11.8289,33.3999,-2.8151,-2.8151,0.8718,-7.2285,-7.3193,1.4616,-215.508,203.5353,-10.6982,-18.1368,0.0687,-0.2593
Moody's Investors Service,"Advanced Micro Devices, Inc.",CCC,28-07-2015,2488,0,3674,BusEq,AMD,1.9,0.9158,11.8289,33.3999,-2.8151,-2.8151,0.8718,-7.2285,-7.3193,1.4616,-215.508,203.5353,-10.6982,-18.1368,0.0687,-0.2593
Fitch Ratings,Albemarle Corporation,BBB-,29-05-2015,915913,1,2810,Chems,ALB,3.3984,0.3769,0.619,35.5211,24.0856,24.0856,28.5701,22.4888,17.2567,0.6679,25.0018,31.7962,12.1548,15.5779,-0.3043,0.9782
Fitch Ratings,Albemarle Corporation,BBB-,16-09-2015,915913,1,2810,Chems,ALB,3.3984,0.3769,0.619,35.5211,24.0856,24.0856,28.5701,22.4888,17.2567,0.6679,25.0018,31.7962,12.1548,15.5779,-0.3043,0.9782
Moody's Investors Service,Alere Inc.,CCC+,10-06-2015,1145460,0,2835,Hlth,ALR,0.5654,0.1788,0.3799,43.3292,-1.4442,-1.4442,0.9528,-1.7357,-6.4308,2.4825,-34.9896,-39.5016,-14.8325,-28.7339,-2.6116,-1.7199
